order_id,product_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,category,sub_category,product_name,shipping_days,sales,quantity,profit,discount,order_month
CA-2014-100006,TEC-PH-10002075,2014-09-07,2014-09-13,Standard Class,DK-13375,Dennis Kane,Consumer,United States,New York City,New York,10024,East,Technology,Phones,AT&T EL51110 DECT,6,377.97,3,109.6113,0.0,September
CA-2014-100090,FUR-TA-10003715,2014-07-08,2014-07-12,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,Furniture,Tables,Hon 2111 Invitation Series Corner Table,4,502.488,3,-87.9354,0.2,July
CA-2014-100090,OFF-BI-10001597,2014-07-08,2014-07-12,Standard Class,EB-13705,Ed Braxton,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",4,196.704,6,68.8464,0.2,July
CA-2014-100293,OFF-PA-10000176,2014-03-14,2014-03-18,Standard Class,NF-18475,Neil Französisch,Home Office,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,Xerox 1887,4,91.056,6,31.8696,0.2,March
CA-2014-100328,OFF-BI-10000343,2014-01-28,2014-02-03,Standard Class,JC-15340,Jasper Cacioppo,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",6,3.928,1,1.3257,0.2,January
CA-2014-100363,OFF-FA-10000611,2014-04-08,2014-04-15,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,Office Supplies,Fasteners,Binder Clips by OIC,7,2.368,2,0.8288,0.2,April
CA-2014-100363,OFF-PA-10004733,2014-04-08,2014-04-15,Standard Class,JM-15655,Jim Mitchum,Corporate,United States,Glendale,Arizona,85301,West,Office Supplies,Paper,Things To Do Today Spiral Book,7,19.008,3,6.8904,0.2,April
CA-2014-100391,OFF-PA-10001471,2014-05-25,2014-05-29,Standard Class,BW-11065,Barry Weirich,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,Strathmore Photo Frame Cards,4,14.62,2,6.7252,0.0,May
CA-2014-100678,FUR-CH-10002602,2014-04-18,2014-04-22,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,Furniture,Chairs,DMI Arturo Collection Mission-style Design Wood Chair,4,317.058,3,-18.1176,0.3,April
CA-2014-100678,OFF-AR-10001868,2014-04-18,2014-04-22,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Houston,Texas,77095,Central,Office Supplies,Art,Prang Dustless Chalk Sticks,4,2.688,2,1.008,0.2,April
